rank,icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,dep_max_gap_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_reach_p10,dep_reach_p25,dep_reach_p50,dep_reach_p75,dep_reach_p90,dep_continuity_p10,dep_continuity_p25,dep_continuity_p50,dep_continuity_p75,dep_continuity_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,arr_max_gap_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_reach_p10,arr_reach_p25,arr_reach_p50,arr_reach_p75,arr_reach_p90,arr_continuity_p10,arr_continuity_p25,arr_continuity_p50,arr_continuity_p75,arr_continuity_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
1,EICK,119.0,119.0,100.0,0.0,100.0,540.0,5.0,-932.0,-736.0,-616.0,-538.5,-450.0,0.9513333333333334,0.9921296296296296,1.0,1.0,1.0,0.9145833333333333,1.0,1.0,1.0,1.0,616.0,932.0,0.8403361344537815,87.39495798319328,94.95798319327731,3.361344537815126,1.680672268907563,119.0,119.0,100.0,0.0,99.15966386554622,120.0,5.0,433.6,479.0,513.0,645.5,2027.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,513.0,2027.0,0.0,100.0,95.7983193277311,2.5210084033613445,1.680672268907563,100.0,apdf,119.0,100.0,1.0,Cork International Airport,51.841301,-8.49111
2,LOWW,1151.0,1147.0,99.65247610773241,0.0,100.0,600.0,29.0,-2745.0,-996.0,-641.0,-441.0,-291.0,0.5648888888888889,0.8595238095238096,0.9708333333333333,1.0,1.0,0.6071428571428571,0.875,1.0,1.0,1.0,646.0,2795.000000000001,1.5693112467306016,59.19790758500436,90.87749782797567,7.298001737619462,1.476976542137272,1124.0,1121.0,99.73309608540926,0.0,100.0,300.0,5.0,482.0,559.0,670.0,899.0,2294.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,676.0,2374.0,1.0704727921498662,98.66190900981266,91.19217081850533,7.473309608540926,1.0676156583629892,100.0,apdf,1151.0,99.69278609657084,0.9969278609657084,Vienna International Airport,48.110298,16.5697
3,EBBR,867.0,866.0,99.88465974625144,0.0,100.0,660.0,5.0,-1196.0,-916.0,-736.0,-601.0,-506.0,0.9466775599128541,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,743.5,1236.0,1.3856812933025404,93.0715935334873,92.73356401384083,6.920415224913495,0.2306805074971165,844.0,839.0,99.40758293838863,0.0,99.88151658767772,300.0,5.0,523.0,581.0,657.0,759.0,917.4000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,661.0,948.6000000000001,1.430274135876043,99.88066825775657,92.41706161137441,6.398104265402844,0.5924170616113744,100.0,apdf,867.0,99.64612134232004,0.9964612134232005,Brussels Airport,50.901402,4.48444
4,EIDW,1178.0,1172.0,99.49066213921901,0.0,100.0,830.0,8.0,-1456.7,-1128.5,-867.5,-678.75,-532.0,0.849261272924077,0.9631307369001867,1.0,1.0,1.0,0.8,0.95,1.0,1.0,1.0,874.0,1490.2000000000007,1.1945392491467577,75.51194539249147,94.31239388794567,4.499151103565365,0.6791171477079796,1157.0,1152.0,99.56784788245463,0.0,99.82713915298184,415.0,5.0,585.0,656.0,727.0,834.25,1136.5000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,732.0,1195.4000000000005,0.9548611111111112,94.17391304347827,94.46845289541919,4.407951598962835,0.6914433880726015,100.0,apdf,1178.0,99.52925501083682,0.9952925501083683,Dublin Airport,53.428713,-6.262121
5,LFPO,985.0,981.0,99.59390862944163,0.0,100.0,660.0,29.0,-1146.0,-821.0,-601.0,-311.0,34.0,0.0,0.5333333333333333,0.9756410256410256,1.0,1.0,0.0,0.46153846153846156,1.0,1.0,1.0,601.0,1161.0,22.833843017329254,61.36595310907237,96.14213197969544,3.451776649746193,0.0,984.0,978.0,99.39024390243902,0.0,100.0,300.0,5.0,359.0,398.25,603.5,710.0,838.3000000000001,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,607.0,844.3000000000001,0.6134969325153374,91.61554192229039,96.84959349593495,2.540650406504065,0.0,100.0,apdf,985.0,99.49207626594033,0.9949207626594032,Paris-Orly Airport,48.729499,2.358963
6,EFHK,653.0,650.0,99.5405819295559,0.0,100.0,470.0,5.0,-791.0,-624.75,-486.0,-386.0,-280.4999999999999,0.8665642994241843,0.9789611824837685,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,486.0,791.0,0.6153846153846154,84.76923076923077,93.26186830015314,4.287901990811639,1.9908116385911179,653.0,647.0,99.0811638591118,0.0,100.0,258.0,5.0,420.6,483.5,577.0,746.0,1001.1999999999999,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,582.0,1053.6,1.545595054095827,86.70788253477589,92.03675344563553,5.206738131699847,1.8376722817764166,100.0,apdf,653.0,99.31087289433384,0.9931087289433385,Helsinki Vantaa Airport,60.318363,24.963341
7,LHBP,572.0,562.0,98.25174825174825,0.0,99.82517482517483,641.0,10.0,-1076.0,-786.0,-656.0,-566.0,-481.0,0.8704545454545455,0.9350282485875706,0.9897540983606558,1.0,1.0,0.9,0.9545454545454546,1.0,1.0,1.0,661.0,1140.5000000000002,0.8896797153024911,79.14438502673796,88.98601398601399,7.8671328671328675,1.3986013986013985,570.0,562.0,98.59649122807018,1.0,99.12280701754386,270.0,5.0,464.4,515.0,579.0,664.75,910.6000000000001,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,585.0,989.0,2.491103202846975,87.41007194244604,87.36842105263158,9.824561403508772,1.4035087719298245,99.82517482517483,apdf,572.0,98.42411973990922,0.9842411973990921,Budapest Liszt Ferenc International Airport,47.43018,19.262393
8,EGCC,924.0,922.0,99.78354978354979,0.0,99.45887445887446,960.0,54.0,-1630.0,-1209.75,-896.0,-651.0,-451.0,0.5249237472766884,0.8642857142857143,0.9575268817204301,1.0,1.0,0.5663865546218488,0.8636363636363636,0.9642857142857143,1.0,1.0,906.0,1689.9999999999998,1.735357917570499,56.48854961832061,89.6103896103896,9.307359307359308,0.8658008658008658,880.0,876.0,99.54545454545455,0.0,99.6590909090909,420.0,5.0,526.5,600.75,722.0,893.25,1130.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,727.5,1165.5,1.1415525114155252,95.76174112256587,92.1590909090909,6.363636363636363,1.0227272727272727,99.6590909090909,apdf,924.0,99.66450216450217,0.9788477891156463,Manchester Airport,53.349375,-2.279521
9,EGGD,359.0,359.0,100.0,0.0,98.60724233983287,727.0,56.0,-1027.0,-836.0,-656.0,-521.0,-435.00000000000006,0.6527704752275025,0.8585029069767441,0.9243006993006992,0.9706992574257426,1.0,0.6812631578947369,0.875,0.95,1.0,1.0,656.0,1032.0,0.5571030640668524,51.9774011299435,94.70752089136491,4.178272980501393,1.1142061281337048,347.0,346.0,99.71181556195965,0.0,98.84726224783861,300.0,5.0,503.5,560.0,610.0,676.75,913.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,610.0,961.5,0.8670520231213873,91.81286549707602,93.65994236311239,4.610951008645533,1.440922190201729,98.84726224783861,apdf,359.0,99.85590778097983,0.9735951008645534,Bristol Airport,51.382326,-2.716453
10,LPFR,399.0,399.0,100.0,0.0,87.96992481203007,600.0,44.0,-838.9999999999999,-646.0,-506.0,-246.0,-120.00000000000006,0.25166666666666665,0.42847222222222225,0.9547619047619048,1.0,1.0,0.2857142857142857,0.46886446886446886,0.9444444444444444,1.0,1.0,511.0,852.0,1.2531328320802004,49.857549857549856,95.23809523809524,2.756892230576441,2.0050125313283207,407.0,407.0,100.0,0.0,90.41769041769042,300.0,5.0,479.0,530.5,571.0,619.0,698.0000000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,571.0,704.4000000000001,0.2457002457002457,91.03260869565217,96.31449631449631,1.71990171990172,1.9656019656019657,90.41769041769042,apdf,407.0,100.0,0.9722222222222222,Faro - Gago Coutinho International Airport,37.015909,-7.970939
